FID,SOLMUTUNNU,LYHYTTUNNU,SOLMUTYYPP,X,Y,PROJ_X,PROJ_Y,NIMI1,NAMN1,NIMI2,NAMN2,REI_VOIM,AIK_VOIM,VERKKO,PYSAKKITYY
4883,1541111,H4577,P,2563172,6678182,2563150,6678179,Lokitie,Loggvägen,Kallvikintie,Kallviksvägen,1,1,1,01
4884,1541112,H4614,P,2563099,6677799,2563109,6677800,Peräsinpolku,Styresstigen,Kallvikintie,Kallviksvägen,0,0,1,99
4885,1541113,H4613,P,2563148,6677824,2563144,6677762,Peräsinpolku,Styresstigen,Kallvikintie,Kallviksvägen,0,0,1,99
4886,1541114,H4610,P,2562706,6677553,2562710,6677536,Venemestarintie,Båtmästarvägen,Vuotie,Norvägen,1,1,1,04
4887,1541115,H4609,P,2562732,6677521,2562728,6677540,Venemestarintie,Båtmästarvägen,Vuotie,Norvägen,1,1,1,04
4888,1541116, ,P,2562257,6677606,2562254,6677597,Rastila,Rastböle,Vuotie,Norvägen,0,0,1,99
4889,1541117, ,P,2562264,6677586,2562266,6677592,Rastila,Rastböle,Vuotie,Norvägen,0,0,1,99
4890,1541118,H4589,P,2563139,6679617,2563121,6679629,Mustalahdentie,Svartviksvägen,Kallvikintie,Kallviksvägen,1,1,1,01
4891,1541119, ,P,2563090,6679594,2563096,6679591,Mustalahdentie,Svartviksvägen,Kallvikintie,Kallviksvägen,0,0,1,99
4892,1541120,H4578,P,2563208,6678102,2563208,6678110,Lokitie,Loggvägen,Vuosaarentie,Nordsjövägen,1,1,1,01
4893,1541121,H4946,P,2563599,6678200,2563603,6678201,Punakiventie,Rödstensvägen,Punakiventie 2,Rödstensvägen 2,1,1,1,08
4894,1541122,H4646,P,2563575,6678119,2563575,6678114,Etel. ostoskeskus,Södra köpcentrum,Vuosaarentie,Nordsjövägen,1,1,1,04
4895,1541123,H4634,P,2563926,6678279,2563913,6678281,Vuosaarentie,Nordsjövägen,Porslahdentie 26,Porslaxvägen 26,1,1,1,04
4896,1541124,H4635,P,2563880,6678190,2563893,6678187,Vuosaarentie,Nordsjövägen,Porslahdentie 23,Porslaxvägen 23,1,1,1,01
4897,1541125, ,P,2564120,6677290,2564122,6677286,Aurinkolahti,Solvik,Solvikinkatu,Solviksgatan,0,0,0,99
4898,1541126,H4637,P,2563779,6678556,2563790,6678564,Punakiventie,Rödstensvägen,Porslahdentie,Porslaxvägen,1,1,1,01
4899,1541127,H4638,P,2563819,6678872,2563802,6678871,Lokkisaarentie,Trutholmsvägen,Porslahdentie,Porslaxvägen,1,1,1,04
4900,1541128,H4639,P,2563773,6678806,2563790,6678802,Lokkisaarentie,Trutholmsvägen,Porslahdentie,Porslaxvägen,1,1,1,01
4901,1541129,H4529,P,2564094,6679430,2564103,6679446,Niinisaarentie,Bastövägen,Laivanrakentajantie,Skeppsbyggarvägen,1,1,1,04
4902,1541130,H4527,P,2564040,6679482,2564039,6679481,Niinisaarentie,Bastövägen,Laivanrakentajantie,Skeppsbyggarvägen,1,1,1,04
4903,1541131,H4642,P,2563729,6679345,2563716,6679354,Isonvillasaarentie,Stora Ullholmsvägen,Porslahdentie,Porslaxvägen,1,1,1,04
4904,1541132,H4643,P,2563674,6679251,2563691,6679254,Isonvillasaarentie,Stora Ullholmsvägen,Porslahdentie,Porslaxvägen,1,1,1,01
4905,1541133,H4528,P,2563940,6679529,2563946,6679540,Porslahdentie,Porslaxvägen,Niinisaarentie,Bastövägen,1,1,1,04
4906,1541134,H4645,P,2563827,6679509,2563838,6679499,Porslahdentie,Porslaxvägen,Porslahdentie,Porslaxvägen,1,1,1,01
4907,1541135,H4553,P,2562181,6677564,2562188,6677550,Meri-Rastilan tori,Havsrastböletorget,Meri-Rastilan tie 1,Havsrastbölevägen 1,1,1,1,04
4908,1541136,H4554,P,2562166,6677489,2562155,6677493,Meri-Rastilan tori,Havsrastböletorget,Meri-Rastilan tie 4,Havsrastbölevägen 4,1,1,1,04
4909,1541137,H4557,P,2562270,6677026,2562274,6677033,Ramsinniementie,Ramsöuddsvägen,Meri-Rastilan tie 15,Havsrastbölevägen 15,1,1,1,01
4910,1541138,H4558,P,2562260,6677064,2562250,6677050,Ramsinniementie,Ramsöuddsvägen,Meri-Rastilan tie 22,Havsrastbölevägen 22,1,1,1,01
4911,1541139,H4561,P,2562732,6677180,2562727,6677188,Halkaisijantie,Klyvarvägen,Meri-Rastilan tie 23,Havsrastbölevägen 23,1,1,1,01
4912,1541140,H4562,P,2562699,6677179,2562703,6677175,Halkaisijantie,Klyvarvägen,Meri-Rastilan tie 38,Havsrastbölevägen 38,1,1,1,01
4913,1541141,H4555,P,2562125,6677273,2562132,6677272,Fokkatori,Focktorget,Meri-Rastilan tie 9,Havsrastbölevägen 9,1,1,1,01
4914,1541142,H4556,P,2562152,6677281,2562133,6677281,Fokkatori,Focktorget,Meri-Rastilan tie 12,Havsrastbölevägen 12,1,1,1,01
4915,1541143,H4559,P,2562461,6677089,2562453,6677097,Harbonkatu,Harbogatan,Meri-Rastilan tie 21,Havsrastbölevägen 21,1,1,1,01
4916,1541144,H4560,P,2562435,6677095,2562446,6677087,Harbonkatu,Harbogatan,Meri-Rastilan tie,Havsrastbölevägen,1,1,1,01
4917,1541145,H4563,P,2563074,6677273,2563071,6677281,Kallvikinniemi,Kallviksudd,Leikosaarentie,Lekholmsvägen,1,1,1,01
4918,1541146,H4564,P,2563057,6677289,2563063,6677277,Kallvikinniemi,Kallviksudd,Leikosaarentie,Lekholmsvägen,1,1,1,01
4919,1541147,H4644,P,2563874,6679520,2563865,6679529,Porslahdentie,Porslaxvägen,Porslahdentie,Porslaxvägen,1,1,1,04
4920,1541148,H4592,P,2563883,6679619,2563864,6679594,Porslahdentie,Porslaxvägen,Niinisaarentie,Bastövägen,1,1,1,04
4921,1541149,H4591,P,2563269,6679770,2563276,6679776,Neitsytsaarentie,Jungfruholmsvägen,Niinisaarentie,Bastövägen,1,1,1,04
4922,1541150,H4590,P,2563289,6679768,2563289,6679767,Neitsytsaarentie,Jungfruholmsvägen,Niinisaarentie,Bastövägen,1,1,1,04
4923,1541151,H4617,P,2563110,6678112,2563110,6678109,Kallvikintie,Kallviksvägen,Lokitie 1,Loggvägen 1,1,1,1,04
4924,1541152,H4618,P,2563120,6678105,2563120,6678109,Kallvikintie,Kallviksvägen,Lokitie 2,Loggvägen 2,1,1,1,04
4925,1541153,H4949,P,2563644,6678597,2563647,6678616,Päiväkoti Koralli,Daghem Koralli,Punakiventie 11,Rödstensvägen 11,1,1,1,08
4926,1541154,H4950,P,2563644,6678636,2563640,6678617,Päiväkoti Koralli,Daghem Koralli,Punakiventie 12,Rödstensvägen 12,1,1,1,08
4927,1541155, ,P,2563900,6679604,2563906,6679599,Porslahdentie,Porslaxvägen,Porslahdentie,Porslaxvägen,0,0,1,99
4928,1541156,H4612,P,2563210,6677474,2563197,6677470,Kaivonkatsojanpuisto,Brunnsökarparken,Kaivonkatsojantie,Brunnsökarvägen,1,1,1,01
4929,1541157,H4611,P,2563195,6677417,2563210,6677422,Kaivonkatsojanpuisto,Brunnsökarparken,Kaivonkatsojantie,Brunnsökarvägen,1,1,1,04
4930,1541158, ,P,2563024,6677219,2563012,6677226,Kallahdenraitti,Kallviksstråket,Kallahdenraitti,Kallviksstråket,0,0,1,99
4931,1541159,H4619,P,2562860,6678113,2562860,6678107,Lokipolku,Loggstigen,Lokitie 19,Loggvägen 19,1,1,1,04
4932,1541160, ,P,2563277,6678069,2563281,6678071,Ulappasaarentie,Fjärdholmsvägen,Vuosaarentie,Nordsjövägen,0,0,1,99
4933,1541161,H4569,P,2563657,6677815,2563653,6677813,Vuosaari (M),Nordsjö (M),Valkopaadentie,Vithällsvägen,1,1,1,03
4934,1541162,H4574,P,2563612,6677874,2563623,6677876,Vuosaari (M),Nordsjö (M),Valkopaadentie,Vithällsvägen,1,1,1,03
4935,1541163,H4575,P,2563543,6678090,2563533,6678090,Mosaiikkitori,Mosaiktorget,Valkopaadentie,Vithällsvägen,1,1,1,01
4936,1541164,H4576,P,2563528,6678066,2563533,6678066,Mosaiikkitori,Mosaiktorget,Valkopaadentie,Vithällsvägen,1,1,1,01
4937,1541165,H4620,P,2562865,6678109,2562865,6678107,Lokipolku,Loggstigen,Lokitie 18,Loggvägen 18,1,1,1,04
4938,1541166,H4565,P,2563408,6677371,2563407,6677377,Vedenottamontie,Vattentäktsvägen,Leikosaarentie,Lekholmsvägen,1,1,1,01
4939,1541167,H4566,P,2563345,6677369,2563347,6677362,Vedenottamontie,Vattentäktsvägen,Leikosaarentie,Lekholmsvägen,1,1,1,01
4940,1541168,H4567,P,2563667,6677454,2563664,6677463,Iiluodontie,Iglovägen,Leikosaarentie,Lekholmsvägen,1,1,1,01
4941,1541169,H4568,P,2563623,6677459,2563628,6677449,Iiluodontie,Iglovägen,Leikosaarentie,Lekholmsvägen,1,1,1,01
4942,1541170,H4663,P,2563918,6677528,2563918,6677533,Leikosaarentie,Lekholmsvägen,Leikosaarentie,Lekholmsvägen,0,0,1,08
4943,1541171,H4666,P,2563928,6677524,2563882,6677524,Leikosaarentie,Lekholmsvägen,Leikosaarentie,Lekholmsvägen,1,0,1,08
4944,1541172,H4665,P,2564244,6677617,2564243,6677621,Iiluodonkuja,Iglogränden,Leikosaarentie,Lekholmsvägen,0,0,1,08
4945,1541173,H4676,P,2564214,6677621,2564216,6677614,Iiluodonkuja,Iglogränden,Leikosaarentie,Lekholmsvägen,1,0,1,08
4946,1541174,H4603,P,2564407,6678004,2564403,6678012,Aurinkolahti,Solvik,Vuotie,Norvägen,1,1,1,04
4947,1541175, ,P,2563245,6679096,2563253,6679095,Heteniityntie,Gjutängsvägen,Heteniityntie,Gjutängsvägen,0,0,1,99
4948,1541176,H4601,P,2564053,6677893,2564049,6677905,Vuotie,Norvägen,Vuotie,Norvägen,1,1,1,04
4949,1541177,H4600,P,2564034,6677918,2564039,6677903,Vuotie,Norvägen,Vuotie,Norvägen,1,1,1,04
4950,1541178,H4951,P,2563737,6678798,2563726,6678784,Lokkisaarentie,Trutholmsvägen,Lokkisaarentie 1,Trutholmsvägen 1,0,0,1,99
4951,1541179,H4952,P,2563732,6678751,2563746,6678769,Lokkisaarentie,Trutholmsvägen,Lokkisaarentie,Trutholmsvägen,0,0,1,99
4952,1541180, ,P,2564255,6678060,2564258,6678049,Itäreimarintie,Östremmarvägen,Uutelantie,Nybondsvägen,0,0,0,99
4953,1541181,H4667,P,2564366,6677715,2564382,6677713,Sumukuja,Dimgränden,Aurinkotuulenkatu,Solvindsgatan,1,1,1,99
4954,1541182,H4655,P,2564391,6677681,2564379,6677682,Sumukuja,Dimgränden,Aurinkotuulenkatu,Solvindsgatan,1,1,1,04
4955,1541183,H4587,P,2563124,6679514,2563129,6679519,Mustalahdentie,Svartviksvägen,Mustalahdentie,Svartviksvägen,1,1,1,08
4956,1541184,H4941,P,2563139,6679509,2563140,6679510,Mustalahdentie,Svartviksvägen,Mustalahdentie 1,Svartviksvägen 1,1,1,1,08
4957,1541185,H4943,P,2563380,6679470,2563380,6679467,Pohj. ostoskeskus,Norra köpcentrum,Mustalahdentie,Svartviksvägen,1,1,1,04
4958,1541186,H4622,P,2562532,6678255,2562528,6678257,Rastilantie 17,Rastbölevägen 17,Rastilantie 20,Rastbölevägen 20,1,1,1,04
4959,1541187,H4657,P,2564370,6677968,2564370,6677967,Aurinkolahti,Solvik,Aurinkotuulenkatu,Solvindsgatan,0,0,1,99
4960,1541188,H4955,P,2564027,6678961,2564030,6678967,Pilvilinnankuja,Luftslottsgatan,Pilvilinnankatu,Luftslottsgatan,0,0,1,99
4961,1541189,H4621,P,2562519,6678255,2562525,6678252,Rastilantie 17,Rastbölevägen 17,Rastilantie 17,Rastbölevägen 17,1,1,1,04
4962,1541190,H4904,P,2564339,6678051,2564338,6678049,Nordsjön kartano,Nordsjö gård,Uutelantie,Nybondsvägen,0,0,1,99
4963,1541191,H4658,P,2564359,6677926,2564376,6677931,Aurinkolahti,Solvik,Aurinkotuulenkatu,Solvindsgatan,1,1,1,04
4964,1541192,H4552,P,2562271,6677666,2562259,6677670,Rastila (M),Rastböle (M),Karavaanisilta,Karavanbron,1,1,1,03
4965,1541193,H4551,P,2562311,6677649,2562315,6677647,Rastila (M),Rastböle (M),Rastilansilta,Rastbölebron,1,1,1,03
4966,1541194,H4624,P,2562630,6678375,2562630,6678376,Rastilantie 11,Rastbölevägen 11,Rastilantie 11,Rastbölevägen 11,1,1,1,04
4967,1541195,H4607,P,2562269,6677550,2562277,6677572,Rastila (M),Rastböle (M),Vuotie,Norvägen,1,1,1,04
4968,1541196,H4608,P,2562284,6677637,2562277,6677620,Rastila (M),Rastböle (M),Vuotie,Norvägen,1,1,1,04
4969,1541197,H4623,P,2562618,6678380,2562625,6678372,Rastilantie 11,Rastbölevägen 11,Rastilantie 11,Rastbölevägen 11,1,1,1,01
4970,1541198,H4626,P,2562815,6678480,2562813,6678483,Pilssikuja,Kölsvinsgränden,Rastilantie 4,Rastbölevägen 4,1,1,1,04
4971,1541199,H4625,P,2562850,6678510,2562853,6678502,Pilssikuja,Kölsvinsgränden,Rastilantie 7,Rastbölevägen 7,1,1,1,04
4972,1541201, ,P,2563085,6679521,2563083,6679520,Mustalahdentie,Svartviksvägen,Kallvikintie,Kallviksvägen,0,0,1,99
4973,1541202,H4586,P,2563015,6679254,2563033,6679251,Purjetie,Segelvägen,Kallvikintie,Kallviksvägen,0,0,1,99
4974,1541203,H4585,P,2563041,6679362,2563034,6679360,Purjetie,Segelvägen,Kallvikintie,Kallviksvägen,0,0,1,99
4975,1541204, ,P,2562945,6678947,2562966,6678947,Merikorttitie,Sjökortsvägen,Kallvikintie,Kallviksvägen,0,0,1,99
4976,1541205, ,P,2563002,6679080,2562989,6679083,Merikorttitie,Sjökortsvägen,Kallvikintie,Kallviksvägen,0,0,1,99
4977,1541206,H4582,P,2563013,6678725,2563012,6678725,Koukkusaarenpolku,Krokholmsstigen,Kallvikintie,Kallviksvägen,0,0,1,99
4978,1541207,H4581,P,2563052,6678640,2563038,6678636,Koukkusaarentie,Krokholmsvägen,Kallvikintie,Kallviksvägen,1,1,1,01
4979,1541208, ,P,2563097,6678329,2563112,6678333,Satamasaarentie,Hamnholmsvägen,Kallvikintie,Kallviksvägen,0,0,1,99
4980,1541209,H4579,P,2563093,6678452,2563086,6678451,Satamasaarentie,Hamnholmsvägen,Kallvikintie,Kallviksvägen,0,0,1,99
4981,1541210,H4616,P,2563164,6678067,2563163,6678067,Lokitie,Loggvägen,Kallvikintie,Kallviksvägen,0,0,1,99
4982,1541211,H4577,P,2563176,6678174,2563149,6678175,Lokitie,Loggvägen,Kallvikintie,Kallviksvägen,0,0,1,99
4983,1541212,H4614,P,2563098,6677796,2563109,6677796,Peräsinpolku,Styresstigen,Kallvikintie,Kallviksvägen,0,0,1,99
4984,1541213,H4613,P,2563148,6677824,2563144,6677762,Peräsintie,Styresvägen,Kallvikintie,Kallviksvägen,0,0,1,99
4985,1541214,H4610,P,2562730,6677539,2562731,6677534,Venemestarintie,Båtmästarvägen,Vuotie,Norvägen,0,0,1,99
4986,1541215,H4609,P,2562731,6677527,2562729,6677534,Venemestarintie,Båtmästarvägen,Vuotie,Norvägen,0,0,1,99
4987,1541216, ,P,2562258,6677607,2562254,6677597,Rastila,Rastböle,Vuotie,Norvägen,0,0,1,99
4988,1541217, ,P,2562265,6677549,2562266,6677592,Rastila,Rastböle,Vuotie,Norväg,0,0,1,99
4989,1541218,H4686,P,2563049,6678497,2563074,6678504,Koukkusaarentie,Krokholmsvägen,Kallvikintie,Kallviksvägen,1,1,1,01
4990,1541295,H4607,P,2562260,6677537,2562262,6677545,Rastila (M),Rastböle (M),Vuotie,Norvägen,0,0,1,99
4991,1541296,H4608,P,2562293,6677636,2562290,6677628,Rastila (M),Rastböle (M),Vuotie,Norvägen,0,0,1,99
4992,1541601,H0039,P,2562321,6677639,2562319,6677633,Rastila,Rastböle,Karavaanisilta 3,Karavanbron 3,1,1,2,99
4993,1541602,H0038,P,2562320,6677637,2562323,6677642,Rastila,Rastböle,Karavaanisilta 3,Karavanbron 3,1,1,2,99
