price,area,rooms,balcony,sauna,category,neighborhood,city,postcode,deal_type
1250.0,74.5,3.0,False,False,kerrostalo,länsi-pasila,helsinki,00240,rent
2099.0,68.5,2.0,False,False,kerrostalo,jätkäsaari,helsinki,00220,rent
721.0,57.0,2.0,False,False,kerrostalo,martinlaakso,vantaa,01620,rent
1033.0,90.5,4.0,False,False,kerrostalo,martinlaakso,vantaa,01620,rent
721.0,57.0,2.0,False,False,kerrostalo,martinlaakso,vantaa,01620,rent
724.0,57.0,2.0,False,False,kerrostalo,martinlaakso,vantaa,01620,rent
724.0,57.0,2.0,False,False,kerrostalo,martinlaakso,vantaa,01620,rent
447.0,30.0,1.0,False,False,kerrostalo,martinlaakso,vantaa,01620,rent
860.0,50.0,2.0,False,False,kerrostalo,vuosaari,helsinki,00980,rent
895.0,49.5,2.0,False,False,kerrostalo,pakkala,vantaa,01510,rent
1699.0,76.5,3.0,False,False,kerrostalo,kalasatama,helsinki,00540,rent
1159.0,40.0,2.0,False,False,kerrostalo,kalasatama,helsinki,00540,rent
895.0,55.0,2.0,True,False,kerrostalo,oulunkylä,helsinki,00640,rent
879.0,23.0,1.0,False,False,kerrostalo,kalasatama,helsinki,00540,rent
800.0,27.5,1.0,True,False,kerrostalo,herttoniemi,helsinki,49520,rent
1050.0,42.5,2.0,False,False,kerrostalo,hakaniemi,helsinki,00530,rent
690.0,28.0,1.0,False,False,kerrostalo,tuomarila,espoo,02760,rent
657.0,31.5,1.0,False,False,kerrostalo,havukoski,vantaa,65370,rent
628.0,30.5,1.0,False,False,kerrostalo,pitäjänmäki,helsinki,00370,rent
749.0,22.0,1.0,False,False,kerrostalo,etu-töölö,helsinki,00260,rent
895.0,53.0,2.0,False,True,kerrostalo,leppävaara,espoo,65350,rent
950.0,34.5,1.0,False,False,kerrostalo,hakaniemi,helsinki,00530,rent
650.0,26.0,1.0,True,False,kerrostalo,munkkivuori,helsinki,00350,rent
879.0,50.0,2.0,False,False,kerrostalo,reimarla,helsinki,00370,rent
819.0,40.0,2.0,False,False,kerrostalo,reimarla,helsinki,00370,rent
1335.0,74.5,3.0,False,True,kerrostalo,viikki,helsinki,00810,rent
760.0,24.0,1.0,False,False,kerrostalo,lauttasaari,helsinki,00200,rent
1030.0,43.5,2.0,False,False,kerrostalo,lauttasaari,helsinki,00200,rent
890.0,31.0,1.0,False,False,kerrostalo,taka-töölö,helsinki,00250,rent
765.0,34.5,1.0,False,False,kerrostalo,leinelä,vantaa,01340,rent
820.0,39.5,2.0,True,False,kerrostalo,martinlaakso,vantaa,01620,rent
1169.0,46.0,2.0,False,False,kerrostalo,kalasatama,helsinki,00580,rent
725.0,26.5,1.0,False,False,kerrostalo,niittykumpu,espoo,28430,rent
869.0,35.5,1.0,False,False,kerrostalo,kallio,helsinki,00530,rent
1295.0,50.0,2.0,False,False,kerrostalo,ullanlinna,helsinki,80170,rent
764.0,24.0,1.0,True,False,kerrostalo,leppävaara,espoo,02650,rent
740.0,28.0,1.0,False,False,kerrostalo,leppävaara,espoo,02650,rent
822.0,33.5,2.0,False,False,kerrostalo,olari,espoo,02250,rent
709.0,24.5,1.0,True,False,kerrostalo,olari,espoo,02250,rent
650.0,23.5,1.0,True,False,kerrostalo,puotinharju,helsinki,00900,rent
810.0,25.5,1.0,False,False,kerrostalo,kallio,helsinki,00014,rent
910.0,60.5,2.0,True,False,kerrostalo,myyrmäki,vantaa,01600,rent
1159.0,60.0,3.0,True,False,kerrostalo,olari,espoo,02250,rent
1164.0,60.0,3.0,True,False,kerrostalo,olari,espoo,02250,rent
1100.0,48.4,1.0,False,False,kerrostalo,harju,helsinki,00530,rent
1293.0,70.5,3.0,False,False,kerrostalo,itä-pasila,helsinki,00077,rent
980.0,49.0,2.0,False,False,kerrostalo,lauttasaari,helsinki,00200,rent
627.0,34.0,1.0,True,False,kerrostalo,mikkola,vantaa,01480,rent
1250.0,32.0,2.0,False,False,kerrostalo,ullanlinna,helsinki,00140,rent
1085.0,49.0,2.0,False,False,kerrostalo,vuosaari,helsinki,00980,rent
1100.0,44.0,1.0,False,False,kerrostalo,punavuori,helsinki,00100,rent
350.0,12.0,1.0,False,False,kerrostalo,ullanlinna,helsinki,00140,rent
2800.0,234.0,6.0,True,True,omakotitalo,kaitaa,espoo,02260,rent
835.0,49.0,2.0,False,False,kerrostalo,karakallio,espoo,02620,rent
700.0,22.0,1.0,False,False,kerrostalo,kallio,helsinki,00500,rent
800.0,26.0,1.0,False,False,kerrostalo,kallio,helsinki,00530,rent
1250.0,48.0,2.0,False,False,kerrostalo,keski-töölö,helsinki,00260,rent
750.0,31.0,1.0,False,False,kerrostalo,munkkivuori,helsinki,00350,rent
922.0,70.0,3.0,False,False,kerrostalo,lähderanta,espoo,02720,rent
835.0,34.5,2.0,False,False,kerrostalo,martinlaakso,vantaa,01620,rent
1150.0,44.0,2.0,True,False,kerrostalo,kallio,helsinki,00510,rent
755.0,29.0,1.0,True,False,kerrostalo,martinlaakso,vantaa,01620,rent
899.0,42.0,2.0,False,False,kerrostalo,tikkurila,vantaa,01350,rent
1010.0,44.0,1.0,False,False,kerrostalo,jätkäsaari,helsinki,00220,rent
779.0,68.5,3.0,True,True,kerrostalo,karhusuo,espoo,02740,rent
1650.0,86.0,3.0,False,False,kerrostalo,etu-töölö,helsinki,00100,rent
1196.0,59.0,3.0,True,False,kerrostalo,lauttasaari,helsinki,00200,rent
725.0,27.0,1.0,False,False,kerrostalo,kallio,helsinki,00014,rent
1020.0,44.0,2.0,True,False,kerrostalo,herttoniemie,helsinki,00830,rent
704.0,24.5,1.0,False,False,kerrostalo,martinlaakso,vantaa,01620,rent
1061.0,72.0,3.0,False,False,kerrostalo,länsimäki,vantaa,20360,rent
990.0,49.0,2.0,False,True,kerrostalo,tikkurila,vantaa,01350,rent
897.0,29.5,1.0,False,False,kerrostalo,tapanila,helsinki,00780,rent
760.0,43.8,2.0,True,False,kerrostalo,maunula,helsinki,00630,rent
696.0,24.5,1.0,False,False,kerrostalo,martinlaakso,vantaa,01620,rent
1075.0,62.0,3.0,False,False,kerrostalo,pukinmäki,helsinki,00720,rent
1299.0,70.0,3.0,False,True,kerrostalo,soukka,espoo,02360,rent
673.0,22.0,1.0,False,False,kerrostalo,martinlaakso,vantaa,01620,rent
885.0,45.5,2.0,False,True,kerrostalo,saunalahti,espoo,02390,rent
764.0,29.5,1.0,False,False,kerrostalo,leppävaara,espoo,04400,rent
915.0,50.0,2.0,False,False,kerrostalo,vermonniitty,espoo,02600,rent
667.0,23.0,1.0,False,False,kerrostalo,martinlaakso,vantaa,01620,rent
3131.0,61.0,2.0,False,False,kerrostalo,taka-töölö,helsinki,04200,rent
1083.0,30.0,1.0,True,True,kerrostalo,maarinkunnas,vantaa,01370,rent
1190.0,32.0,1.0,False,False,kerrostalo,punavuori,helsinki,00120,rent
2349.0,79.0,3.0,False,False,kerrostalo,hakunila,vantaa,01200,rent
2691.0,72.0,3.0,True,True,kerrostalo,leppävaara,espoo,02650,rent
878.0,57.0,2.0,False,False,kerrostalo,kilo,espoo,02630,rent
2330.0,74.0,3.0,True,False,kerrostalo,lintuvaara,espoo,02650,rent
1279.0,65.0,3.0,False,True,kerrostalo,vuosaari,helsinki,00990,rent
550.0,20.0,5.0,False,False,kerrostalo,meilahti,helsinki,85630,rent
765.0,30.0,1.0,True,False,kerrostalo,herttoniemi,helsinki,06150,rent
850.0,48.5,2.0,True,True,kerrostalo,malminkartano,helsinki,00410,rent
1100.0,56.0,1.0,False,False,kerrostalo,hakaniemi,helsinki,20014,rent
725.0,32.0,1.0,False,False,kerrostalo,malminiitty,vantaa,01350,rent
850.0,60.0,2.0,False,False,luhtitalo,malminkartano,helsinki,00390,rent
685.0,26.0,1.0,True,False,kerrostalo,kaarela,helsinki,00420,rent
2000.0,57.0,3.0,False,True,kerrostalo,kallio,helsinki,00530,rent
690.0,26.0,1.0,False,False,kerrostalo,vartiokylä,helsinki,00910,rent
876.0,31.5,2.0,False,False,kerrostalo,kukkola,helsinki,00550,rent
690.0,28.0,1.0,True,False,luhtitalo,myllykylä,espoo,02940,rent
1213.0,40.5,2.0,False,True,kerrostalo,sörnäinen,helsinki,00500,rent
779.0,37.0,1.0,False,False,kerrostalo,kivistö,vantaa,01700,rent
690.0,29.5,1.0,True,False,kerrostalo,kaivoksela,vantaa,01610,rent
795.0,49.0,2.0,False,False,kerrostalo,lippajärvi,espoo,02710,rent
1102.0,54.0,2.0,False,False,kerrostalo,herttoniemi,helsinki,44200,rent
1050.0,78.5,3.0,True,False,kerrostalo,korso,vantaa,28600,rent
899.0,38.5,2.0,True,False,kerrostalo,matinkylä,espoo,00430,rent
810.0,40.5,1.0,False,False,kerrostalo,martinlaakso,vantaa,France,rent
839.0,40.5,1.0,False,False,kerrostalo,martinlaakso,vantaa,Tarragona,rent
750.0,29.5,1.0,True,False,kerrostalo,kruunuvuorenranta,helsinki,00590,rent
965.0,49.0,2.0,True,True,kerrostalo,kartanonkoski,vantaa,01520,rent
1270.0,74.5,3.0,True,True,kerrostalo,kartanonkoski,vantaa,01520,rent
1209.0,71.5,3.0,False,True,kerrostalo,matinkylä,espoo,02230,rent
950.0,56.0,2.0,True,False,kerrostalo,soukka,espoo,02360,rent
1190.0,81.5,3.0,False,True,rivitalo,nissas,vantaa,01200,rent
692.0,24.5,1.0,True,False,kerrostalo,olari,espoo,02250,rent
1090.0,44.5,2.0,True,False,kerrostalo,kamppi,helsinki,00180,rent
1367.0,68.0,3.0,False,True,kerrostalo,aurinkolahti,helsinki,00990,rent
957.0,41.5,2.0,False,False,kerrostalo,kruunuvuorenranta,helsinki,00870,rent
925.0,39.5,2.0,False,False,kerrostalo,vuosaari,helsinki,00990,rent
649.0,30.0,1.0,False,False,kerrostalo,kivenlahti,espoo,02320,rent
1195.0,87.0,4.0,True,False,kerrostalo,etelä-haaga,helsinki,00320,rent
1195.0,87.0,4.0,True,False,kerrostalo,etelä-haaga,helsinki,00320,rent
1095.0,47.0,1.0,False,False,kerrostalo,punavuori,helsinki,00150,rent
1025.0,56.5,3.0,False,False,kerrostalo,konala,helsinki,00390,rent
1800.0,63.0,3.0,True,True,erillistalo,laajasalo,helsinki,00860,rent
2760.0,109.0,3.0,False,False,kerrostalo,punavuori,helsinki,00120,rent
950.0,39.0,1.0,False,False,kerrostalo,katajanokka,helsinki,00160,rent
1300.0,59.0,2.0,False,False,kerrostalo,kamppi,helsinki,15610,rent
1099.0,58.5,3.0,False,True,kerrostalo,suurpelto,espoo,02250,rent
